date,sales,customers,profit,region,product_category
2024-01-01,45200,312,12800,North,Electronics
2024-01-02,38700,287,10900,South,Clothing
2024-01-03,52300,345,15600,East,Electronics
2024-01-04,41800,298,11200,West,Food
2024-01-05,63400,421,19200,North,Electronics
2024-01-06,29800,198,7800,South,Clothing
2024-01-07,71200,487,22400,East,Electronics
2024-01-08,48900,334,14100,West,Food
2024-01-09,55600,378,16800,North,Clothing
2024-01-10,43200,301,12100,South,Electronics
2024-01-11,67800,456,20900,East,Food
2024-01-12,39400,271,10600,West,Clothing
2024-01-13,58900,392,17700,North,Electronics
2024-01-14,44700,315,12900,South,Food
2024-01-15,72100,489,23100,East,Electronics
2024-01-16,50300,348,15200,West,Clothing
2024-01-17,61200,412,18800,North,Food
2024-01-18,37800,264,9900,South,Electronics
2024-01-19,69400,465,21700,East,Clothing
2024-01-20,46500,323,13400,West,Electronics
2024-01-21,53800,367,16200,North,Food
2024-01-22,42100,295,11700,South,Clothing
2024-01-23,65700,441,20300,East,Electronics
2024-01-24,48200,330,14500,West,Food
2024-01-25,76300,512,24600,North,Electronics
2024-01-26,35600,249,9100,South,Clothing
2024-01-27,70100,472,22100,East,Food
2024-01-28,52700,362,16100,West,Electronics
2024-01-29,59400,399,18200,North,Clothing
2024-01-30,44900,317,13100,South,Electronics
2024-02-01,48700,336,14800,North,Electronics
2024-02-02,41200,289,11500,South,Clothing
2024-02-03,56800,381,17400,East,Electronics
2024-02-04,44300,311,12700,West,Food
2024-02-05,67900,456,21200,North,Electronics
2024-02-06,32100,222,8400,South,Clothing
2024-02-07,74500,501,23900,East,Electronics
2024-02-08,51400,352,15700,West,Food
2024-02-09,59200,398,18100,North,Clothing
2024-02-10,46700,325,13800,South,Electronics
2024-02-11,71300,479,22700,East,Food
2024-02-12,42600,298,12200,West,Clothing
2024-02-13,62500,418,19600,North,Electronics
2024-02-14,78900,531,25800,South,Food
2024-02-15,75600,507,24300,East,Electronics
2024-02-16,53800,369,16600,West,Clothing
2024-02-17,64700,433,20200,North,Food
2024-02-18,40300,281,10800,South,Electronics
2024-02-19,72800,489,23400,East,Clothing
2024-02-20,49600,341,15300,West,Electronics
2024-02-21,57300,384,17900,North,Food
2024-02-22,45100,316,13300,South,Clothing
2024-02-23,68900,463,21800,East,Electronics
2024-02-24,51100,352,15900,West,Food
2024-02-25,80200,539,26100,North,Electronics
2024-02-26,38400,268,10100,South,Clothing
2024-02-27,73400,493,23700,East,Food
2024-02-28,55200,375,17200,West,Electronics
2024-03-01,52400,359,16100,North,Electronics
2024-03-02,44800,314,13200,South,Clothing
2024-03-03,60700,407,19200,East,Electronics
2024-03-04,47500,332,14400,West,Food
2024-03-05,72600,487,23100,North,Electronics
2024-03-06,35100,244,9300,South,Clothing
2024-03-07,79200,532,25700,East,Electronics
2024-03-08,55100,377,17100,West,Food
2024-03-09,63800,428,20100,North,Clothing
2024-03-10,50200,346,15500,South,Electronics
2024-03-11,76100,512,24600,East,Food
2024-03-12,46300,322,14100,West,Clothing
2024-03-13,66900,449,21200,North,Electronics
2024-03-14,48900,338,15000,South,Food
2024-03-15,82300,553,27100,East,Electronics
2024-03-16,57700,389,18300,West,Clothing
2024-03-17,68900,462,22000,North,Food
2024-03-18,43100,301,12800,South,Electronics
2024-03-19,77600,522,25200,East,Clothing
2024-03-20,53400,366,16800,West,Electronics
2024-03-21,62700,421,19900,North,Food
2024-03-22,48100,334,14800,South,Clothing
2024-03-23,74200,499,24000,East,Electronics
2024-03-24,55900,382,17600,West,Food
2024-03-25,85600,576,28400,North,Electronics
2024-03-26,40700,283,10900,South,Clothing
2024-03-27,78400,527,25600,East,Food
2024-03-28,59600,401,19000,West,Electronics
2024-03-29,69200,465,22300,North,Clothing
2024-03-30,51800,356,16200,South,Electronics
2024-04-01,56300,383,17700,North,Electronics
2024-04-02,48200,337,14900,South,Clothing
2024-04-03,64900,435,20700,East,Electronics
2024-04-04,50800,352,15800,West,Food
2024-04-05,78100,524,25400,North,Electronics
2024-04-06,37900,263,10000,South,Clothing
2024-04-07,84700,569,27900,East,Electronics
2024-04-08,59300,399,18800,West,Food
2024-04-09,68400,459,21900,North,Clothing
2024-04-10,53900,370,16900,South,Electronics

2026-04-18,7176,109,2448,West,Clothing
2026-04-18,8681,147,1474,South,Food
2026-04-18,2853,92,453,South,Clothing
2026-04-18,14142,18,5887,South,Food
2026-04-18,17803,29,4762,West,Electronics
2026-04-18,5122,114,776,South,Clothing
2026-04-18,15660,139,6915,West,Electronics
2026-04-18,17943,36,7104,West,Electronics
2026-04-18,16427,72,7137,North,Electronics
2026-04-18,4475,90,724,North,Food
2026-04-18,14596,70,5292,West,Food
2026-04-18,7129,88,3146,North,Food
2026-04-18,8466,78,1989,South,Electronics
2026-04-18,2892,148,816,North,Food
2026-04-18,13885,81,3415,West,Clothing
2026-04-18,6838,66,2839,North,Food
2026-04-18,2597,122,936,South,Clothing
2026-04-18,17413,55,3927,West,Electronics
2026-04-18,13580,90,3371,West,Clothing
2026-04-18,17264,68,6024,East,Food
2026-04-18,16552,48,3153,South,Clothing
2026-04-18,13985,127,5618,East,Clothing
2026-04-18,15169,45,4692,South,Food
2026-04-18,5553,63,1749,North,Clothing
2026-04-18,11892,73,4553,North,Clothing
2026-04-18,5212,106,2086,West,Clothing
2026-04-18,10477,31,3599,North,Electronics
2026-04-18,4714,121,821,North,Clothing
2026-04-18,4950,28,1122,North,Clothing
2026-04-18,9546,147,2370,West,Electronics
2026-04-18,5424,143,1241,South,Clothing
2026-04-18,17621,22,5472,North,Clothing
2026-04-18,2125,121,440,West,Clothing
2026-04-18,10948,96,3269,South,Electronics
2026-04-18,2271,68,945,West,Electronics
2026-04-18,11179,144,2773,North,Electronics
2026-04-18,3791,125,1125,East,Clothing
2026-04-18,3780,115,1528,North,Food
2026-04-18,3836,45,1708,South,Food
2026-04-18,7682,32,1587,South,Clothing
2026-04-18,6619,69,2540,West,Food
2026-04-18,6701,124,1401,North,Clothing
2026-04-18,5799,109,1569,North,Electronics
2026-04-18,6142,28,1600,North,Food
2026-04-18,14850,34,4841,East,Electronics
2026-04-18,3558,90,1599,South,Electronics
2026-04-18,5361,83,2406,North,Electronics
2026-04-18,9197,103,3637,North,Clothing
2026-04-18,3393,130,879,West,Electronics
2026-04-18,2842,59,1067,West,Clothing
2026-04-18,14550,77,2354,East,Clothing
2026-04-18,4161,147,1542,South,Food
2026-04-18,15603,103,4695,West,Electronics
2026-04-18,16857,27,3103,East,Electronics
2026-04-18,4437,83,748,South,Food
2026-04-18,12393,139,5486,West,Clothing
2026-04-18,17685,21,7374,South,Clothing
2026-04-18,4701,71,1571,North,Clothing
2026-04-18,14181,40,2325,West,Electronics
2026-04-18,10469,121,3193,South,Clothing
2026-04-18,8591,69,2762,South,Clothing
2026-04-18,12222,82,3586,South,Clothing
2026-04-18,11917,120,2667,South,Food
2026-04-18,15718,134,2566,North,Clothing
2026-04-18,11146,91,1820,West,Clothing
2026-04-18,12959,40,4251,North,Food
2026-04-18,11234,139,4226,South,Food
2026-04-18,10407,66,3997,West,Clothing
2026-04-18,12309,51,5103,West,Electronics
2026-04-18,14797,100,4091,West,Electronics
2026-04-18,15937,56,4331,North,Clothing
2026-04-18,12964,67,3376,West,Clothing
2026-04-18,4377,67,1936,West,Clothing
2026-04-18,13914,15,5432,West,Electronics
2026-04-18,7982,95,2570,West,Electronics
2026-04-18,5235,138,1568,South,Electronics
2026-04-18,13896,122,2797,East,Food
2026-04-18,10511,47,4217,West,Food
2026-04-18,5940,116,1689,West,Clothing
2026-04-18,7201,96,2148,North,Electronics
2026-04-18,11180,126,2116,North,Food
2026-04-18,11383,98,4246,East,Food
2026-04-18,2481,135,407,West,Food
2026-04-18,5588,145,2146,West,Food
2026-04-18,10216,46,2874,East,Electronics
2026-04-18,6290,146,1328,East,Clothing
2026-04-18,17521,90,3115,West,Food
2026-04-18,16835,124,4970,South,Food
2026-04-18,12578,73,3533,West,Food
2026-04-18,16799,111,5137,North,Electronics
2026-04-18,13280,66,3380,North,Food
2026-04-18,7907,115,2344,South,Food
2026-04-18,12850,132,4645,South,Clothing
2026-04-18,4064,86,910,South,Clothing
2026-04-18,17167,142,3528,South,Clothing
2026-04-18,14412,131,5945,East,Electronics
2026-04-18,2502,104,621,South,Electronics
2026-04-18,3801,94,581,South,Electronics
2026-04-18,6306,122,1523,South,Clothing
2026-04-18,2576,23,466,East,Clothing
2026-04-18,12964,131,5750,West,Electronics
2026-04-18,11415,136,3640,East,Clothing
2026-04-18,9929,101,3391,East,Food
2026-04-18,12323,40,4087,East,Clothing
2026-04-18,7057,32,2142,South,Clothing
2026-04-18,17593,44,3009,South,Electronics
2026-04-18,2802,69,964,North,Clothing
2026-04-18,13473,71,4070,West,Electronics
2026-04-18,6692,18,1831,South,Food
2026-04-18,5221,16,2209,West,Clothing
2026-04-18,15242,70,4916,West,Electronics
2026-04-18,2817,34,1051,West,Food
2026-04-18,8080,40,1703,North,Electronics
2026-04-18,10083,92,3661,South,Clothing
2026-04-18,7054,60,2889,West,Food
2026-04-18,4965,133,1150,South,Food
2026-04-18,3286,46,894,West,Clothing
2026-04-18,14177,90,2174,East,Electronics
2026-04-18,16405,18,6898,North,Electronics
2026-04-18,9822,40,4097,West,Electronics
2026-04-18,2246,123,930,West,Food
2026-04-18,10052,134,3707,West,Food
2026-04-18,3271,93,491,North,Electronics
2026-04-18,9719,15,1843,West,Clothing
2026-04-18,8897,43,3123,East,Electronics
2026-04-18,15966,30,4582,North,Electronics
2026-04-18,9367,133,2619,West,Electronics
2026-04-18,7907,115,2058,West,Clothing
2026-04-18,8682,142,2099,East,Clothing
2026-04-18,4931,56,1847,West,Electronics
2026-04-18,16104,30,6956,East,Electronics
2026-04-18,3992,90,1591,West,Clothing
2026-04-18,7411,39,1153,South,Food
2026-04-18,2779,55,606,North,Electronics
2026-04-18,2453,21,996,South,Food
2026-04-18,2154,53,912,East,Electronics
2026-04-18,17857,78,6057,East,Electronics
2026-04-18,10329,118,2180,East,Clothing
2026-04-18,2747,119,653,North,Clothing
2026-04-18,14164,143,6049,East,Clothing
2026-04-18,13535,149,3162,East,Clothing
2026-04-18,4180,122,759,South,Clothing
2026-04-18,8059,27,2179,East,Clothing
2026-04-18,7201,75,1104,East,Food
2026-04-18,7082,97,1502,North,Food
2026-04-18,4116,111,709,East,Clothing
2026-04-18,16875,52,3763,West,Electronics
2026-04-18,11650,25,4899,North,Food
2026-04-18,16068,60,5216,South,Clothing
2026-04-18,15295,37,3014,West,Clothing
2026-04-18,3251,119,932,West,Electronics
2026-04-18,12676,115,5042,North,Food
2026-04-18,15008,65,2332,East,Electronics
2026-04-18,11167,121,2212,East,Electronics
2026-04-18,15428,71,2807,North,Clothing
2026-04-18,5073,72,1025,West,Electronics
2026-04-18,17792,148,6505,South,Electronics
2026-04-18,5080,125,1441,South,Food
2026-04-18,6681,144,2985,South,Electronics
2026-04-18,11477,48,2187,East,Food
2026-04-18,9756,58,2861,North,Electronics
2026-04-18,5856,131,2395,East,Clothing
2026-04-18,12013,72,4724,South,Clothing
2026-04-18,5683,30,2007,South,Food
2026-04-18,16091,147,6570,North,Clothing
2026-04-18,4370,127,1139,East,Food
2026-04-18,9614,149,1965,West,Electronics
2026-04-18,12973,137,3845,South,Clothing
2026-04-18,3711,16,1373,East,Clothing
2026-04-18,4888,26,913,South,Clothing
2026-04-18,4466,124,1416,West,Electronics
2026-04-18,6248,26,2546,East,Clothing
2026-04-18,14209,94,2519,East,Food
2026-04-18,11665,32,2856,East,Electronics
2026-04-18,2916,143,437,South,Clothing
2026-04-18,8128,89,3549,South,Clothing
2026-04-18,9332,59,2155,South,Food
2026-04-18,13937,92,4798,North,Clothing
2026-04-18,17524,68,5867,East,Electronics
2026-04-18,7981,131,2381,West,Food
2026-04-18,12017,40,1924,East,Clothing
2026-04-18,4115,73,618,East,Food
2026-04-18,14984,90,6211,West,Electronics
2026-04-18,13968,47,5164,East,Food
2026-04-18,17257,133,5949,West,Clothing
2026-04-18,14441,146,5196,North,Food
2026-04-18,5587,130,2159,West,Clothing
2026-04-18,9189,73,2476,East,Food
2026-04-18,7133,19,2477,East,Food
2026-04-18,4390,91,1146,East,Electronics
2026-04-18,16179,30,6372,East,Electronics
2026-04-18,6340,60,2428,North,Clothing
2026-04-18,17758,75,6216,West,Clothing
2026-04-18,12268,135,4657,North,Food
2026-04-18,10498,129,1764,South,Electronics
2026-04-18,4477,64,1999,West,Food
2026-04-18,4089,65,1532,East,Food
2026-04-18,12914,42,4340,North,Electronics
2026-04-18,2396,64,944,South,Food
2026-04-18,3017,25,883,North,Food
2026-04-18,9047,31,3990,North,Clothing
2026-04-18,13007,79,3460,East,Clothing
2026-04-18,13913,123,6176,East,Electronics
2026-04-18,10346,16,2353,East,Food
2026-04-18,10211,39,3100,North,Clothing
2026-04-18,3891,130,1562,West,Clothing
2026-04-18,14557,127,6161,South,Food
2026-04-18,9851,98,3308,East,Clothing
2026-04-18,15789,55,6316,West,Electronics
2026-04-18,16609,53,6525,East,Food
2026-04-18,16089,112,4781,South,Electronics
2026-04-18,6789,61,1289,West,Electronics
2026-04-18,11667,103,2602,East,Food
2026-04-18,7822,17,2973,North,Electronics
2026-04-18,12912,111,3552,East,Clothing
2026-04-18,13354,28,3531,East,Clothing
2026-04-18,7815,30,1441,South,Electronics
2026-04-18,13030,46,2759,West,Food
2026-04-18,15380,68,4485,South,Electronics
2026-04-18,7913,45,1554,West,Electronics
2026-04-18,2377,38,409,West,Clothing
2026-04-18,11246,31,4021,North,Electronics
2026-04-18,9811,134,4389,West,Electronics
2026-04-18,10082,25,2787,West,Food
2026-04-18,5760,91,2425,West,Food
2026-04-18,4590,109,1901,East,Food
2026-04-18,10766,150,3714,North,Food
2026-04-18,13235,63,3162,North,Electronics
2026-04-18,2185,85,795,West,Clothing
2026-04-18,7164,120,2892,South,Food
2026-04-18,6724,77,1654,South,Clothing
2026-04-18,2841,28,1240,North,Electronics
2026-04-18,4421,109,1656,West,Electronics
2026-04-18,3541,144,618,West,Clothing
2026-04-18,17576,118,3484,West,Clothing
2026-04-18,10009,96,2268,North,Clothing
2026-04-18,3900,101,1703,West,Electronics
2026-04-18,4167,78,1066,East,Clothing
2026-04-18,2323,54,683,West,Electronics
2026-04-18,7081,26,1248,North,Clothing
2026-04-18,13205,62,5328,East,Clothing
2026-04-18,4030,38,1753,South,Clothing
2026-04-18,16918,136,4716,North,Clothing
2026-04-18,7667,15,1166,South,Clothing
2026-04-18,7348,48,1342,North,Electronics
2026-04-18,8487,150,3360,West,Electronics
2026-04-18,16871,77,5956,South,Clothing
2026-04-18,12320,83,2901,East,Food
2026-04-18,13648,148,2462,East,Clothing
2026-04-18,15739,88,6173,West,Electronics
2026-04-18,13366,24,5680,West,Electronics
2026-04-18,9038,105,3937,East,Electronics
2026-04-18,15706,91,6669,East,Clothing
2026-04-18,15197,89,5886,East,Food
2026-04-18,6164,23,2599,West,Food
2026-04-18,12010,88,1891,East,Electronics
2026-04-18,16991,97,6300,South,Food
2026-04-18,16580,78,3143,North,Clothing
2026-04-18,16069,144,2722,East,Food
2026-04-18,13008,68,3472,South,Food
2026-04-18,3066,50,1144,East,Clothing
2026-04-18,13840,32,3828,East,Food
2026-04-18,5237,43,833,North,Food
2026-04-18,5522,70,901,South,Clothing
2026-04-18,12719,47,4522,North,Electronics
2026-04-18,4030,28,715,West,Food
2026-04-18,2497,87,500,South,Electronics
2026-04-18,12758,97,2206,East,Clothing
2026-04-18,13173,145,2824,West,Electronics
2026-04-18,6443,82,1007,West,Clothing
2026-04-18,11468,107,4343,East,Food
2026-04-18,3967,79,1210,South,Clothing
2026-04-18,11996,134,2867,West,Clothing
2026-04-18,13138,72,4834,North,Electronics
2026-04-18,14795,54,4175,West,Clothing
2026-04-18,2581,85,406,North,Clothing
2026-04-18,2527,118,759,West,Food
2026-04-18,5599,131,2074,North,Electronics
2026-04-18,8323,69,1791,South,Food
2026-04-18,11006,128,4324,East,Electronics
2026-04-18,4025,37,1206,South,Food
2026-04-18,16226,146,4716,North,Electronics
2026-04-18,7972,15,1995,West,Electronics
2026-04-18,16681,48,2533,West,Electronics
2026-04-18,10084,124,2702,North,Electronics
2026-04-18,16587,123,7182,West,Clothing
2026-04-18,5283,82,1781,North,Food
2026-04-18,3535,136,1189,East,Food
2026-04-18,12200,55,4933,North,Electronics
2026-04-18,16425,23,2834,East,Food
2026-04-18,6767,106,3019,East,Food
2026-04-18,3689,47,1467,West,Electronics
2026-04-18,9856,87,2784,West,Food
2026-04-18,9857,79,1969,North,Food
2026-04-18,13946,57,5843,South,Electronics
2026-04-18,15155,106,3249,East,Food
2026-04-18,9416,55,2477,West,Clothing
2026-04-18,14895,33,3783,East,Clothing
2026-04-18,10394,136,1884,South,Electronics
2026-04-18,11075,87,3102,South,Food
2026-04-18,16656,71,4631,West,Clothing
2026-04-18,10844,149,2033,East,Electronics
2026-04-18,12224,59,5032,North,Electronics
2026-04-18,16386,85,4707,South,Clothing
2026-04-18,7228,43,1441,South,Clothing
2026-04-18,8466,26,2304,West,Food
2026-04-18,15015,24,2338,East,Electronics
2026-04-18,11751,143,4764,North,Food
2026-04-18,5358,129,1097,South,Clothing
2026-04-18,17487,137,5946,East,Electronics
2026-04-18,11062,101,3129,West,Electronics
2026-04-18,6514,89,1057,South,Electronics
2026-04-18,7153,98,2711,East,Food
2026-04-18,16091,31,3967,East,Clothing
2026-04-18,6314,46,1620,North,Food
2026-04-18,17896,115,6259,South,Electronics
2026-04-18,15592,40,2756,South,Electronics
2026-04-18,7928,83,3156,East,Clothing
2026-04-18,8428,83,1533,East,Electronics
2026-04-18,6784,18,2046,South,Food
2026-04-18,6023,22,2558,West,Food
2026-04-18,9385,15,3515,South,Electronics
2026-04-18,3115,25,944,West,Electronics
2026-04-18,2513,39,644,South,Clothing
2026-04-18,7999,104,3096,North,Electronics
2026-04-18,12391,98,3596,North,Food
2026-04-18,8661,54,1306,East,Clothing
2026-04-18,2887,69,891,North,Clothing
2026-04-18,11908,115,4136,West,Food
2026-04-18,4748,70,1547,North,Clothing
2026-04-18,13797,149,4444,North,Food
2026-04-18,3558,114,550,East,Food
2026-04-18,16131,138,3383,West,Clothing
2026-04-18,12755,120,2589,North,Food
2026-04-18,10160,23,3447,South,Food
2026-04-18,11363,80,2834,West,Food
2026-04-18,4858,72,2085,North,Food
2026-04-18,2075,100,775,East,Clothing
2026-04-18,11107,72,3001,West,Food
2026-04-18,7119,58,1709,West,Electronics
2026-04-18,14406,52,3496,North,Clothing
2026-04-18,8394,70,3106,North,Food
2026-04-18,15518,107,5058,East,Food
2026-04-18,2540,71,802,West,Food
2026-04-18,16993,67,3527,West,Clothing
2026-04-18,10378,26,1985,South,Clothing
2026-04-18,10397,36,3219,North,Clothing
2026-04-18,10653,67,2056,South,Clothing
2026-04-18,17778,75,4767,West,Electronics
2026-04-18,9452,134,4172,East,Clothing
2026-04-18,7529,142,1786,South,Food
2026-04-18,11148,122,3856,West,Clothing
2026-04-18,5947,82,995,South,Electronics
2026-04-18,10265,46,1834,North,Clothing
